GeneID,Localization
G235746,nucleus
G237100,lipid particles
G234704,cytoplasm
G234701,cytoplasm
G239974,cytoplasm
G239971,transport vesicles
G236021,cytoplasm
G236380,cytoplasm
G238898,transport vesicles
G234268,cytoplasm
G239574,transport vesicles
G234267,cytoplasm
G239572,lipid particles
G240373,lipid particles
G236813,lipid particles
G236812,nucleus
G238132,lipid particles
G237059,cytoplasm
G236771,cytoplasm
G235339,nucleus
G235337,nucleus
G235695,nucleus
G240407,cytoplasm
G234653,nucleus
G235299,cytoplasm
G234651,cytoplasm
G238920,cytoplasm
G234258,endosome
G234256,endosome
G235291,lipid particles
G239167,lipid particles
G239162,cytoplasm
G235328,nucleus
G235685,transport vesicles
G237043,lipid particles
G235325,nucleus
G234645,cytoplasm
G234641,lipid particles
G234249,cytoplasm
G234247,cytoplasm
G235284,cytoplasm
G236758,lipid particles
G235719,cytoplasm
G237436,cytoplasm
G235679,nucleus
G235319,nucleus
G235318,cytoplasm
G237392,cytoplasm
G238905,lipid particles
G235315,nucleus
G235673,nucleus
G234633,nucleus
G234992,cytoplasm
G235311,nucleus
G235276,cytoplasm
G235275,cytoplasm
G234592,cytoplasm
G234199,cytoplasm
G234231,cytoplasm
G234590,nucleus
G237429,lipid particles
G235709,endosome
G235705,nucleus
G235704,lipid particles
G237387,lipid particles
G239938,nucleus
G235668,cytoplasm
G237026,cytoplasm
G238063,transport vesicles
G235305,nucleus
G235268,nucleus
G238856,cytoplasm
G234226,cytoplasm
G234189,nucleus
G240296,cytoplasm
G236736,lipid particles
G234181,cytoplasm
G240291,transport vesicles
G237375,cytoplasm
G234618,nucleus
G234977,cytoplasm
G234617,cytoplasm
G239922,lipid particles
G234615,cytoplasm
G234974,nucleus
G234971,cytoplasm
G234612,nucleus
G234579,nucleus
G235256,lipid particles
G235255,transport vesicles
G240327,cytoplasm
G234216,nucleus
G234215,cytoplasm
G234573,cytoplasm
G239520,cytoplasm
G234213,cytoplasm
G234179,nucleus
G234570,cytoplasm
G238447,lipid particles
G234175,cytoplasm
G237406,cytoplasm
G238048,cytoplasm
G235646,transport vesicles
G234965,cytoplasm
G239913,cytoplasm
G239911,lipid particles
G239517,nucleus
G234565,cytoplasm
G234203,cytoplasm
G234161,cytoplasm
G237358,lipid particles
G235638,lipid particles
G234958,nucleus
G235635,nucleus
G236279,cytoplasm
G234951,nucleus
G235237,cytoplasm
G235596,nucleus
G235236,nucleus
G235595,cytoplasm
G235233,nucleus
G235232,cytoplasm
G238429,lipid particles
G237747,cytoplasm
G238783,lipid particles
G239060,nucleus
G234945,nucleus
G236661,lipid particles
G235589,cytoplasm
G235587,nucleus
G234940,lipid particles
G239856,transport vesicles
G235224,cytoplasm
G235223,lipid particles
G235220,nucleus
G235186,nucleus
G234147,nucleus
G235183,lipid particles
G234140,lipid particles
G238375,lipid particles
G237337,lipid particles
G235612,nucleus
G239847,lipid particles
G238809,lipid particles
G235576,cytoplasm
G235215,nucleus
G234534,cytoplasm
G235571,cytoplasm
G235179,nucleus
G234531,cytoplasm
G238800,lipid particles
G235176,cytoplasm
G237728,cytoplasm
G234137,lipid particles
G238400,lipid particles
G234490,nucleus
G234097,cytoplasm
G234094,nucleus
G234927,cytoplasm
G235605,cytoplasm
G237321,nucleus
G235602,nucleus
G234922,nucleus
G235569,nucleus
G235208,cytoplasm
G235567,nucleus
G239835,lipid particles
